Calibrating current sensor...
Make sure motor is NOT moving!
Zero ADC: 467.79
Zero voltage: 2.286
Test current (~0 A): -0.361
Starting test in 3 seconds...
Time_s,RPM,Current_A
4.450016,0.00,0.308504
4.460012,0.00,0.332942
4.470008,0.00,-0.678787
4.480012,0.00,0.508895
4.490008,0.00,-0.297556
4.500012,0.00,0.396481
4.510004,0.00,0.376930
4.520004,0.00,-0.209579
4.530004,0.00,0.430694
4.540004,0.00,0.313392
4.550008,0.00,0.254741
4.560012,0.00,0.298729
4.570008,0.00,0.318279
4.580008,0.00,-0.204692
4.590004,0.00,0.034800
4.600008,0.00,0.249853
4.610016,0.00,0.288954
4.620012,0.00,-0.126491
4.630012,0.00,0.308504
4.640012,0.00,0.161877
4.650008,0.00,0.073900
4.660008,0.00,0.430694
4.670004,0.00,-0.146041
4.680008,0.00,-0.605473
4.690008,0.00,0.430694
4.700016,0.00,0.513782
4.710012,0.00,-0.121603
4.720012,0.00,-0.356207
4.730008,0.00,-0.307331
4.740004,0.00,-0.258455
4.750016,0.00,-0.170479
4.760012,0.00,0.479569
4.770012,0.00,-0.014076
4.780016,0.00,-0.321994
4.790008,0.00,-0.121603
4.800004,0.00,-0.776539
4.810016,0.00,0.054350
4.820004,0.00,0.411143
4.830008,0.00,0.039687
4.840012,0.00,0.347605
4.850016,0.00,-0.341544
4.860012,0.00,0.376930
4.870004,0.00,-0.737438
4.880008,0.00,-0.874290
4.890004,0.00,0.244966
4.900012,0.00,-0.214467
4.910012,0.00,-0.576148
4.920008,0.00,-0.058064
4.930008,0.00,-0.571260
4.940016,0.00,0.020137
4.950008,0.00,0.020137
4.960004,0.00,-0.756989
4.970008,0.00,-0.913391
4.980016,0.00,-0.028739
4.990012,0.00,0.347605
5.000016,0.00,-0.390420
5.010012,35.00,-1.602540
5.020096,35.00,1.178493
5.030080,35.00,0.059237
5.040032,35.00,-1.622090
5.050004,35.00,-0.512609
5.060080,35.00,0.557771
5.070052,35.00,-0.121603
5.080044,35.00,-0.180254
5.090016,35.00,-1.768718
5.100100,35.00,0.587096
5.110056,35.00,-1.582992
5.120052,35.00,-1.959333
5.130036,35.00,-0.835190
5.140100,35.00,0.758162
5.150084,35.00,-1.431475
5.160084,35.00,-1.602540
5.170060,35.00,1.173606
5.180028,35.00,0.445356
5.190004,35.00,0.743499
5.200072,35.00,-0.292668
5.210064,35.00,0.342717
5.220032,35.00,0.420918
5.230096,35.00,-1.724730
5.240088,35.00,-1.128445
5.250080,35.00,-1.245749
5.260068,35.00,-0.629911
5.270052,35.00,0.587096
5.280020,35.00,-2.091300
5.290096,35.00,-1.006255
5.300080,35.00,-0.654349
5.310048,35.00,1.002541
5.320020,35.00,1.070969
5.330088,35.00,-1.064906
5.340056,35.00,-0.502834
5.350032,35.00,-0.106940
5.360008,35.00,0.328054
5.370068,35.00,-1.001368
5.380060,35.00,-2.027762
5.390040,35.00,0.376930
5.400096,35.00,0.572433
5.410064,35.00,-0.796089
5.420040,35.00,0.645747
5.430092,35.00,-0.253568
5.440080,35.00,0.513782
5.450048,35.00,0.719061
5.460012,35.00,0.596871
5.470076,35.00,-0.796089
5.480052,35.00,-0.688562
5.490032,35.00,-0.615249
5.500020,35.00,0.831475
5.510008,0.00,-0.585923
5.520012,0.00,-0.468621
5.530016,0.00,-1.807821
5.540016,0.00,0.543108
5.550004,0.00,0.494232
5.560012,0.00,-0.243793
5.570016,0.00,-0.292668
5.580012,0.00,0.064125
5.590012,0.00,-0.092278
5.600008,0.00,-0.468621
5.610012,0.00,-0.185142
5.620004,0.00,0.073900
5.630012,0.00,0.538220
5.640008,0.00,0.445356
5.650008,0.00,-0.678787
5.660004,0.00,-0.018964
5.670004,0.00,-0.698338
5.680004,0.00,-0.043402
5.690012,0.00,0.117888
5.700012,0.00,-0.644574
5.710016,0.00,0.200977
5.720008,0.00,0.518670
5.730004,0.00,-0.429521
5.740004,0.00,0.269403
5.750016,0.00,-0.786314
5.760012,0.00,-0.673900
5.770004,0.00,0.205865
5.780012,0.00,0.582209
5.790012,0.00,-0.004301
5.800008,0.00,0.650635
5.810004,0.00,-0.463734
5.820012,0.00,0.533333
5.830004,0.00,-0.673900
5.840008,0.00,-0.874290
5.850012,0.00,-1.064906
5.860016,0.00,-0.062952
5.870008,0.00,0.191202
5.880008,0.00,-0.317106
5.890008,0.00,-0.541935
5.900016,0.00,-0.766764
5.910008,0.00,0.244966
5.920016,0.00,0.215640
5.930012,0.00,0.611534
5.940016,0.00,-0.263343
5.950008,0.00,0.396481
5.960004,0.00,0.606647
5.970016,0.00,-0.693450
5.980008,0.00,0.205865
5.990008,0.00,-0.791202
6.000012,0.00,0.298729
6.010004,0.00,0.635972
6.020008,0.00,-0.507722
6.030012,0.00,-0.996480
6.040008,0.00,0.191202
6.050016,0.00,0.596871
6.060008,0.00,-0.439296
6.070016,0.00,0.660410
6.080008,0.00,0.005474
6.090008,0.00,-0.537047
6.100004,0.00,0.108113
6.110004,0.00,0.684848
6.120008,0.00,0.352492
6.130004,0.00,-0.082502
6.140008,0.00,0.596871
6.150012,0.00,-0.576148
6.160008,0.00,0.142326
6.170004,0.00,-1.064906
6.180004,0.00,0.362267
6.190004,0.00,0.440469
6.200016,0.00,-0.048289
6.210016,0.00,0.430694
6.220012,0.00,0.665297
6.230008,0.00,0.543108
6.240016,0.00,0.005474
6.250016,0.00,0.098338
6.260008,0.00,0.005474
6.270004,0.00,0.298729
6.280004,0.00,0.543108
6.290004,0.00,0.440469
6.300008,0.00,-0.996480
6.310004,0.00,0.425806
6.320012,0.00,0.362267
6.330004,0.00,0.073900
6.340004,0.00,-0.683675
6.350012,0.00,0.142326
6.360012,0.00,-0.766764
6.370012,0.00,-0.297556
6.380008,0.00,-0.278006
6.390008,0.00,0.015249
6.400008,0.00,0.655522
6.410008,0.00,0.381818
6.420008,0.00,0.401368
6.430008,0.00,-0.263343
6.440004,0.00,-0.659237
6.450012,0.00,-0.307331
6.460012,0.00,-0.649462
6.470004,0.00,0.396481
6.480016,0.00,-0.654349
6.490012,0.00,0.142326
6.500008,0.00,0.611534
6.510100,35.00,-1.661193
6.520004,35.00,0.655522
6.530072,35.00,0.376930
6.540020,35.00,0.557771
6.550096,35.00,-1.793156
6.560092,35.00,-1.524339
6.570080,35.00,0.073900
6.580028,35.00,1.984947
6.590096,35.00,-0.864515
6.600080,35.00,-0.449071
6.610052,35.00,-0.150928
6.620020,35.00,1.388662
6.630100,35.00,-1.201758
6.640084,35.00,0.523558
6.650060,35.00,0.049462
6.660020,35.00,0.508895
6.670084,35.00,-0.321994
6.680076,35.00,0.562658
6.690048,35.00,-2.174389
6.700036,35.00,1.207819
6.710004,35.00,-0.058064
6.720064,35.00,0.474682
6.730036,35.00,-0.463734
6.740024,35.00,0.064125
6.750080,35.00,-1.661193
6.760008,0.00,0.851028
6.770008,0.00,0.591984
6.780012,0.00,0.108113
6.790004,0.00,-0.273118
6.800012,0.00,0.210752
6.810008,0.00,0.528445
6.820012,0.00,0.655522
6.830004,0.00,0.543108
6.840004,0.00,-0.473509
6.850008,0.00,0.587096
6.860004,0.00,-0.805864
6.870008,0.00,0.621309
6.880008,0.00,-0.517497
6.890004,0.00,-0.253568
6.900012,0.00,-0.629911
6.910016,0.00,0.059237
6.920012,0.00,0.103226
6.930004,0.00,-0.409970
6.940004,0.00,-0.238905
6.950008,0.00,-0.825415
6.960008,0.00,0.689735
6.970004,0.00,0.606647
6.980012,0.00,-0.165591
6.990012,0.00,-0.170479
7.000008,0.00,0.675073
7.010012,0.00,-0.160704
7.020004,0.00,0.191202
7.030012,0.00,0.298729
